iter	Passed	Remaining
0	0	566
1	1	523
2	1	500
3	1	484
4	2	478
5	2	465
6	3	454
7	3	443
8	3	433
9	4	426
10	4	419
11	5	412
12	5	410
13	5	408
14	6	408
15	6	407
16	6	404
17	7	402
18	7	405
19	8	402
20	8	401
21	8	398
22	9	398
23	9	405
24	10	410
25	10	409
26	11	411
27	11	413
28	12	412
29	12	411
30	13	410
31	13	408
32	13	409
33	14	407
34	14	406
35	15	405
36	15	405
37	16	405
38	16	404
39	16	403
40	17	402
41	17	402
42	18	401
43	18	400
44	18	401
45	19	402
46	19	401
47	20	402
48	20	402
49	21	401
50	21	402
51	22	403
52	22	402
53	23	404
54	23	403
55	23	402
56	24	401
57	24	399
58	25	399
59	25	397
60	25	397
61	26	398
62	26	399
63	27	398
64	27	398
65	28	399
66	28	399
67	29	398
68	29	397
69	29	397
70	30	397
71	30	397
72	31	397
73	31	397
74	32	396
75	32	396
76	33	396
77	33	396
78	34	396
79	34	393
80	34	394
81	35	393
82	35	393
83	36	393
84	36	392
85	36	392
86	37	391
87	37	390
88	38	389
89	38	388
90	38	388
91	39	387
92	39	386
93	40	386
94	40	385
95	40	385
96	41	384
97	41	384
98	42	383
99	42	383
100	43	383
101	43	383
102	43	383
103	44	382
104	44	381
105	45	381
106	45	381
107	46	380
108	46	379
109	46	379
110	47	380
111	47	379
112	48	379
113	48	379
114	49	378
115	49	378
116	50	379
117	50	378
118	51	378
119	51	378
120	52	378
121	52	377
122	52	376
123	53	376
124	53	375
125	54	376
126	54	376
127	55	375
128	55	374
129	55	374
130	56	373
131	56	373
132	57	373
133	57	372
134	58	372
135	58	370
136	58	369
137	59	369
138	59	368
139	59	367
140	60	366
141	60	366
142	61	365
143	61	365
144	61	364
145	62	364
146	62	363
147	63	362
148	63	362
149	63	362
150	64	361
151	64	361
152	65	360
153	65	360
154	66	360
155	66	359
156	66	359
157	67	359
158	67	358
159	68	358
160	68	358
161	69	357
162	69	357
163	70	357
164	70	356
165	70	356
166	71	356
167	71	355
168	72	354
169	72	354
170	72	353
171	73	353
172	73	352
173	74	352
174	74	352
175	75	351
176	75	351
177	75	350
178	76	350
179	76	350
180	77	349
181	77	349
182	78	349
183	78	348
184	79	348
185	79	347
186	79	347
187	80	347
188	80	346
189	81	346
190	81	346
191	82	345
192	82	345
193	83	344
194	83	344
195	83	343
196	84	343
197	84	342
198	84	341
199	85	341
200	85	340
201	86	340
202	86	340
203	87	339
204	87	339
205	87	338
206	88	338
207	88	337
208	89	337
209	89	337
210	90	336
211	90	336
212	91	336
213	91	335
214	91	335
215	92	334
216	92	334
217	93	333
218	93	333
219	93	332
220	94	332
221	94	331
222	95	331
223	95	330
224	96	330
225	96	330
226	96	330
227	97	330
228	97	329
229	98	328
230	98	328
231	99	328
232	99	327
233	99	327
234	100	326
235	100	326
236	101	326
237	101	325
238	102	325
239	102	324
240	103	324
241	103	323
242	103	323
243	104	323
244	104	322
245	105	322
246	105	321
247	105	321
248	106	320
249	106	320
250	107	319
251	107	319
252	108	319
253	108	318
254	108	318
255	109	317
256	109	317
257	110	316
258	110	316
259	110	315
260	111	315
261	111	314
262	112	313
263	112	313
264	112	312
265	113	312
266	113	312
267	114	311
268	114	311
269	114	310
270	115	310
271	116	311
272	116	311
273	117	310
274	117	310
275	118	309
276	118	309
277	118	308
278	119	308
279	119	308
280	120	307
281	120	307
282	121	306
283	121	306
284	121	305
285	122	305
286	122	304
287	123	304
288	123	303
289	123	303
290	124	302
291	124	302
292	125	302
293	125	301
294	126	301
295	126	300
296	126	300
297	127	299
298	127	299
299	128	299
300	128	298
301	129	298
302	129	298
303	130	297
304	130	297
305	130	296
306	131	296
307	131	295
308	132	295
309	132	295
310	132	294
311	133	294
312	133	293
313	134	293
314	134	292
315	135	292
316	135	291
317	135	291
318	136	290
319	136	290
320	137	290
321	137	289
322	137	289
323	138	288
324	138	288
325	139	287
326	139	287
327	140	287
328	140	286
329	140	286
330	141	285
331	141	285
332	142	284
333	142	284
334	142	283
335	143	283
336	144	283
337	144	283
338	145	282
339	145	282
340	145	281
341	146	281
342	146	281
343	147	280
344	147	280
345	147	279
346	148	279
347	148	278
348	149	278
349	149	277
350	150	277
351	150	276
352	150	276
353	151	276
354	152	277
355	152	276
356	153	276
357	153	275
358	154	275
359	154	274
360	154	274
361	155	274
362	156	273
363	156	273
364	156	272
365	157	272
366	157	272
367	158	271
368	158	271
369	159	271
370	159	270
371	160	270
372	160	269
373	160	269
374	161	268
375	161	268
376	161	267
377	162	267
378	162	266
379	163	266
380	164	266
381	164	266
382	165	265
383	165	265
384	166	265
385	166	264
386	166	264
387	167	263
388	167	263
389	168	262
390	168	262
391	168	261
392	169	261
393	169	260
394	170	260
395	170	259
396	170	259
397	171	258
398	171	258
399	172	258
400	172	257
401	172	257
402	173	256
403	173	256
404	174	255
405	174	255
406	174	254
407	175	254
408	175	253
409	176	253
410	176	253
411	177	252
412	177	252
413	177	251
414	178	251
415	178	251
416	179	250
417	179	250
418	179	249
419	180	249
420	180	248
421	181	248
422	181	247
423	182	247
424	182	246
425	182	246
426	183	245
427	183	245
428	183	244
429	184	244
430	184	244
431	185	243
432	185	243
433	186	242
434	186	242
435	186	241
436	187	241
437	187	240
438	188	240
439	188	239
440	188	239
441	189	239
442	189	238
443	190	238
444	190	237
445	191	237
446	191	236
447	191	236
448	192	235
449	192	235
450	192	234
451	193	234
452	193	233
453	194	233
454	194	233
455	194	232
456	195	232
457	195	231
458	196	231
459	196	230
460	196	230
461	197	229
462	197	229
463	198	228
464	198	228
465	198	227
466	199	227
467	199	226
468	199	226
469	200	225
470	200	225
471	201	224
472	201	224
473	201	224
474	202	223
475	202	223
476	203	222
477	203	222
478	203	221
479	204	221
480	204	220
481	205	220
482	205	219
483	205	219
484	206	219
485	206	218
486	207	218
487	207	217
488	207	217
489	208	216
490	208	216
491	209	215
492	209	215
493	209	215
494	210	214
495	210	214
496	211	213
497	211	213
498	211	212
499	212	212
500	212	211
501	213	211
502	213	210
503	213	210
504	214	210
505	214	209
506	215	209
507	215	208
508	216	208
509	216	208
510	216	207
511	217	207
512	217	206
513	218	206
514	218	205
515	219	205
516	219	205
517	219	204
518	220	204
519	220	203
520	221	203
521	221	202
522	222	202
523	222	201
524	222	201
525	223	201
526	223	200
527	223	200
528	224	199
529	224	199
530	225	199
531	225	198
532	226	198
533	226	197
534	226	197
535	227	196
536	227	196
537	228	195
538	228	195
539	228	194
540	229	194
541	229	194
542	230	193
543	230	193
544	231	192
545	231	192
546	231	192
547	232	191
548	232	191
549	233	190
550	233	190
551	233	189
552	234	189
553	234	188
554	234	188
555	235	187
556	235	187
557	236	187
558	236	186
559	237	186
560	237	185
561	237	185
562	238	184
563	238	184
564	239	184
565	239	183
566	240	183
567	240	182
568	240	182
569	241	182
570	241	181
571	242	181
572	242	180
573	243	180
574	243	179
575	243	179
576	244	179
577	244	178
578	245	178
579	245	177
580	246	177
581	246	177
582	246	176
583	247	176
584	247	175
585	248	175
586	248	174
587	248	174
588	249	174
589	249	173
590	250	173
591	250	172
592	251	172
593	251	171
594	251	171
595	252	170
596	252	170
597	253	170
598	253	169
599	253	169
600	254	168
601	254	168
602	255	167
603	255	167
604	255	167
605	256	166
606	256	166
607	257	165
608	257	165
609	258	164
610	258	164
611	258	164
612	259	163
613	259	163
614	259	162
615	260	162
616	260	161
617	261	161
618	261	160
619	261	160
620	262	160
621	262	159
622	263	159
623	263	158
624	263	158
625	264	157
626	264	157
627	265	157
628	265	156
629	266	156
630	266	155
631	267	155
632	267	155
633	267	154
634	268	154
635	268	153
636	269	153
637	269	152
638	269	152
639	270	152
640	270	151
641	271	151
642	271	150
643	271	150
644	272	149
645	272	149
646	273	148
647	273	148
648	273	148
649	274	147
650	274	147
651	274	146
652	275	146
653	275	145
654	276	145
655	276	145
656	277	144
657	277	144
658	278	143
659	278	143
660	279	143
661	279	142
662	279	142
663	280	141
664	280	141
665	281	141
666	281	140
667	282	140
668	282	139
669	283	139
670	283	138
671	283	138
672	284	138
673	284	137
674	285	137
675	285	136
676	285	136
677	286	136
678	286	135
679	287	135
680	287	134
681	288	134
682	288	133
683	288	133
684	289	133
685	289	132
686	290	132
687	290	131
